agglosID,x,y,CentreLon,CentreLat,agglosName,ISO3
7392,30.841,29.179,30.8398757666016,29.1634030209766,Qalamshah,EGY
7395,30.832,30.88,30.8272903852735,30.8714049991797,Qalib Abyar,EGY
7396,30.683,30.837,30.6842973751173,30.8356659901172,Qalishan,EGY
7397,36.157,12.956,36.156147851367,12.9529897719531,Qallabat/Metema [SUD],SDN
7399,30.456,30.795,30.4679234317189,30.7933952039063,Qamha,EGY
7400,31.167,29.296,31.1680991515625,29.3014606941015,Qamn al-Arus,EGY
7401,30.982,28.995,30.9815880098047,28.9963044057814,Qanbash al-Hamra,EGY
7402,31.837,30.803,31.839198959414,30.802605064922,Qantir,EGY
7404,45.162,2.101,45.1540075113673,2.10865481152344,Qarbis,SOM
7405,49.088,9.51,49.0847751475783,9.50410602296872,Qardho,SOM
7408,31.373,30.847,31.3731571260939,30.8483153796874,Qarqira,EGY
7409,31.743,30.826,31.7420278444922,30.828838389297,Qarraga,EGY
7410,30.411,29.408,30.4092398016016,29.4073800197656,Qarun,EGY
7411,30.57,29.4,30.5706364568359,29.3988482098047,Qasr Abu Latiat Basil,EGY
7412,30.818,29.11,30.8178705223828,29.1095673445704,Qasr al-Basil,EGY
7413,30.634,29.333,30.6340185185158,29.3337264067968,Qasr al-Gibali,EGY
7414,30.878,30.731,30.8780146417188,30.7310053143359,Qasr Baghdad,EGY
7418,30.91,29.498,30.9082187934765,29.4988249310546,Qasr Rashwan,EGY
7419,31.853,31.02,31.852965366875,31.0184636024219,Qassasin al-Azhar,EGY
7420,29.606,-31.374,29.5729636644141,-31.3627187455078,Qaukeni,ZAF
7422,32.863,16.548,32.8430861429687,16.5376293583984,Qawz al-Habashi,SDN
7425,38.432,5.763,38.4055784033984,5.77994841183596,Qericha,ETH
7426,41.866,9.452,41.8668036911331,9.45440159156253,Qersa,ETH
7430,30.801,31.067,30.8550660023436,31.0474378994531,Qillin,EGY
7431,32.728,26.168,32.7356400955469,26.1770928924218,Qina,EGY
7439,39.041,8.451,39.0317172560937,8.44054497210938,Qoqa,ETH
7440,38.921,7.219,38.9265975010935,7.22010612410157,Qore,ETH
7441,44.53,1.789,44.5276604799608,1.7857128,Qoryooley,SOM
7442,30.574,30.772,30.5729264547267,30.7736405976561,Qubur al-Umara,EGY
7443,26.877,-31.903,26.852656971875,-31.9197895887891,Queenstown Central,ZAF
7444,14.992,-10.737,14.9896170810937,-10.7376622482422,Quibala,AGO
7445,14.333,-10.636,14.3346528937891,-10.6405933603906,Quilenda,AGO
7446,14.535,-14.821,14.5378249294531,-14.8232333596485,Quipungo,AGO
7448,30.737,28.342,30.7341699417188,28.3312663982812,Qulusna,EGY
7449,30.821,31.022,30.8220021844922,31.0216587166407,Quna,EGY
7451,32.761,25.914,32.7641375054297,25.9152897741015,Qus,EGY
7453,30.952,30.976,30.9900357387108,30.9980426965623,Qutur,EGY
7454,31.14,30.553,31.134221207461,30.5461601803515,Quwisna,EGY
7456,32.741,13.186,32.7501917928905,13.1795425997656,Rabak,SDN
7459,7.153,8.996,7.15214315730471,8.9962691122656,Rafin Pa,NGA
7461,8.685,10.419,8.65571056328124,10.4410307604688,Rahama,NGA
7462,1.021,35.529,1.02136284121093,35.5299589091799,Rahouia,DZA
7465,6.893,36.757,6.89252434644532,36.7555515261719,Ramdane Djamel,DZA
7466,26.956,-27.196,26.9554078083202,-27.1882685942186,Rammulutsi,ZAF
7467,25.861,-24.873,25.8581973548828,-24.8648912532421,Ramotswa,BWA
7469,8.58,11.56,8.58273283691409,11.5568721467188,Rano,NGA
7471,31.626,31.249,31.649552597461,31.2476700463281,Ras al-Khalig,EGY
7472,5.659,35.683,5.65600432152344,35.6772090889064,Ras El Aioun,DZA
7473,-0.805,34.504,-0.820079630234373,34.4979105058593,Ras El Ma,DZA
7474,5.032,35.944,5.03174706722653,35.9447649962498,Ras El Oued,DZA
7475,33.085,28.345,33.0754989674611,28.3592057211329,Ras Gharib,EGY
7476,10.079,37.23,10.1211993716407,37.2143148853517,Ras Jebel,TUN
7477,31.056,11.863,31.0489422766796,11.863106781836,Rashad,SDN
7478,35.638,13.524,35.6385223056248,13.5191906457422,Rashid,SDN
7479,30.422,31.41,30.4147049461719,31.4006018908203,Rashid (Rosette),EGY
7480,28.325,-26.554,28.3293860966406,-26.5529255959767,Ratanda,ZAF
7481,28.324,-26.571,28.3245149362499,-26.5693386846875,Ratanda Ext 7,ZAF
7483,2.695,36.423,2.71138867273437,36.4246943766795,Rayhane - Talaoualma,DZA
