agglosID,Agglomeration_Name,ISO3,x,y,Population_2015,ESA_LC_Open_green,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020
558,al-Bughdadi,EGY,32.642,25.643,30254,0.083703254,44.65072,43.05074,45.54762,43.01281,47.31829,46.43669,47.05878,43.76516,44.70284,47.87159,44.90257,46.12766,51.55481,44.64629,46.57976,48.9423,45.69111,48.35653,48.02015,46.61855,48.15292,48.4081,45.82957
561,al-Burg,EGY,31.076,31.561,136210,0.053199636,26.50666,25.50967,27.61063,25.93103,25.66779,26.49834,25.90912,24.42033,28.98935,23.50271,27.59119,27.34807,29.77848,24.16244,25.87029,25.98209,26.86651,25.80185,23.56708,24.73686,24.44617,25.30766,22.42637
562,al-Bustan,EGY,30.47,30.769,16828,0.016271451,36.48067,36.00866,38.07251,36.35698,34.60136,39.73312,37.79821,33.20271,37.82661,35.164,34.99641,38.40849,41.63888,34.6912,36.94149,37.55202,35.342,35.49631,34.82453,35.29047,36.09569,36.1568,29.14541
566,al-Dahriyya,EGY,30.767,30.854,59158,0.05389179,34.13788,34.11812,37.23833,37.23885,35.01731,39.38569,38.13105,34.91003,39.39391,37.38016,36.96046,40.35549,44.0899,37.58136,40.64416,40.71535,39.58289,40.11058,39.05148,40.13967,40.57362,40.82179,34.92535
567,al-Dahriyya,EGY,31.613,31.228,29380,0.011357565,27.05842,27.56415,29.86332,28.55067,28.98473,30.78026,29.87671,28.23471,33.9277,30.8487,31.06129,32.75414,35.85045,31.62296,32.40902,34.53486,33.7365,33.47799,32.1293,32.217,33.09138,34.39009,28.79637
568,al-Dahriyya,EGY,31.724,30.543,28636,0.023383045,35.74778,37.10881,40.67467,40.52506,38.31047,43.36424,40.30867,37.83365,40.23705,39.45666,38.47162,43.38021,45.90637,40.02591,41.42136,43.84853,41.04668,42.42785,40.07084,42.18999,42.24827,43.47397,36.53686
569,al-Dahtamun,EGY,31.708,30.683,11325,0.003592126,34.58604,35.79311,39.10538,39.51887,37.44867,42.22174,40.37276,37.87905,42.18588,40.78858,39.91981,43.54767,46.8883,41.01509,42.16027,44.2665,42.0757,42.88095,40.96628,42.55506,42.93501,43.78453,37.65035
570,al-Dalanj,SDN,29.645,12.047,68982,0.72207181,31.71437,29.66159,28.13494,28.89382,28.19822,31.19019,32.07529,31.43302,29.42352,34.26495,29.76353,33.94522,32.56217,33.87289,31.25433,31.76996,27.73715,30.51071,32.26217,31.98839,29.35083,29.54815,27.13061
572,al-Damazin,SDN,34.35,11.806,158498,0.536647657,26.25554,20.00031,21.96222,24.81152,28.5872,28.45735,28.06134,30.08317,27.30769,30.94317,26.77372,31.1908,31.42394,33.91896,29.476680000000002,29.77999,24.59621,30.1789,29.44274,31.87453,29.47516,29.56135,29.64841
573,al-Damir,SDN,33.978,17.595,85748,0.003912402,57.58994,54.36985,52.68588,49.32897,52.318,49.79848,52.22105,53.80294,49.29443,49.96076,46.88513,49.50771,51.64611,48.62423,48.42676,48.64235,40.12343,43.28537,45.30851,47.8255,47.23857,44.42352,41.84312
574,al-Damir I,SDN,33.932,17.548,10250,0.012528181,55.97942,53.68221,51.65153,48.80426,51.69751,49.21343,52.2821,53.86654,49.33203,49.88737,46.61968,48.97253,50.92672,47.28718,46.97391,47.35868,39.08639,42.40303,44.76549,47.20176,46.52301,43.6597,40.79264
575,al-Danabiq,EGY,31.447,31.052,10890,0.004103468,31.52481,31.58784,34.1506,33.37214,33.25566,36.09389,34.71809,32.00665,37.33425,35.46468,35.22646,38.61932,42.40261,36.88069,37.96115,40.37175,37.65949,38.79693,36.89025,37.38477,38.51121,38.78185,32.39514
578,al-Dawiyya,EGY,31.052,29.044,20568,0.175511602,46.62187,45.94184,52.10972,49.7522,46.8863,51.06817,48.5862,43.05441,47.09146,47.65356,47.03473,51.31215,53.34567,47.70712,50.81786,53.70315,50.77872,53.0642,53.55816,53.54541,53.1256,53.42533,45.55052
580,al-Dilingat,EGY,30.589,30.862,228997,0.016863346,34.82965,34.2494,37.006,35.79008,34.66369,39.27459,37.33541,34.01189,38.816160000000004,36.47614,36.33875,39.80446,43.18554,36.74769,39.62746,39.64042,38.32257,39.08803,38.31399,38.92513,39.41002,39.50269,33.94076
581,al-Dindir,SDN,34.091,13.332,31326,0.369521902,34.47922,29.14812,31.9784,32.12367,35.76026,36.22017,36.23638,36.85273,33.44059,36.38289,32.44614,38.1581,36.98541,40.40912,34.86465,37.08548,29.59299,36.28191,35.20789,38.92494,35.80838,35.88507,35.17177
582,al-Dir,EGY,32.585,25.332,41624,0.047311432,41.12744,39.23951,42.21208,40.99529,46.20164,45.48021,47.39993,44.64648,45.13673,48.3631,45.46455,45.9707,50.75435,43.12068,44.57389,46.7337,43.40602,46.19977,46.77001,45.0157,46.72292,46.59669,44.74058
583,al-Dir,EGY,31.274,30.334,34156,0.02379243,34.71144,36.10835,38.88305,39.70448,38.47572,43.88364,41.43221,38.86406,42.38287,40.76179,40.65599,45.44951,48.64797,42.45611,45.1987,46.51883,44.90965,46.84637,45.63077,45.83037,46.42172,47.79868,41.0337
584,al-Dir al-Sharqi,EGY,32.756,26.069,13673,0.134468426,43.53059,42.18786,43.37366,41.18532,45.36787,44.41986,45.32186,42.33179,43.15488,46.16114,42.99018,44.87459,49.44032,42.96024,44.5514,46.47029,44.08818,47.51793,47.37428,46.61058,47.79899,48.22282,45.1134
585,al-Dismi,EGY,31.287,29.496,25416,0.005556111,42.7345,42.21268,47.26712,46.63393,43.78847,48.597,46.55261,41.48048,45.8275,45.1326,44.41027,49.2689,51.85112,45.83076,48.71546,50.72071,48.98243,49.90107,50.66088,50.26369,50.41139,50.71413,43.49545
588,al-Duwaym,SDN,32.301,14.005,88525,0.096304168,45.16413,42.12212,43.09369,42.27302,44.64914,46.82589,48.05523,48.20875,47.00482,48.80655,44.83947,50.10565,45.83986,51.89856,46.99232,49.35501,40.40611,46.71323,45.52503,47.02242,43.47567,44.29774,42.96935
591,Aleg,MRT,-13.911,17.053,17186,0.033093504,62.63332,55.71426,59.85424,50.04495,53.45169,51.04031,48.99854,46.5328,46.65852,53.5053,53.80767,47.21367,50.48299,51.5677,56.79568,47.44372,48.74914,58.77224,53.64883,56.9687,52.4255,51.2854,49.32972
592,Alem Gebeya,ETH,38.177,7.579,19932,0.011742098,7.238447,7.754757,15.28076,20.63823,19.67423,19.31768,18.3914,20.09613,20.71205,21.83489,21.3982,20.96356,22.6514,22.93981,21.98149,23.3042,21.99929,23.81145,22.1254,21.82749,21.24747,20.15513,24.55171
593,Alem Ketema,ETH,38.994,10.059,26079,0.226165784,8.916171,9.060613,17.82604,22.06963,24.26525,23.95828,23.735,24.43536,24.46336,25.15456,25.2708,24.08563,26.25135,26.70686,26.97284,26.6884,24.6558,28.89812,26.48092,28.29969,25.57704,24.94453,27.4633
594,Alem Tena,ETH,38.948,8.299,16800,0.100944908,6.978381,7.649907,14.27186,18.97935,19.30038,19.24963,18.42911,19.26798,20.29704,20.9883,21.35181,21.83205,23.58074,23.10771,23.36528,24.67965,22.36416,24.33801,23.00007,23.05791,22.52892,21.20737,25.0797
597,Alexandria,EGY,29.797,31.125,6585102,0.051065764,30.20484,29.23524,32.5811,30.88421,30.89908,35.17749,32.67901,30.21544,33.87885,32.26753,32.17253,35.31488,38.57435,31.87233,34.22216,34.04053,32.61972,33.1432,32.38431,33.68922,34.19889,34.45179,29.71134
598,al-Fahmiyya,EGY,31.067,29.451,13026,0.031789347,45.6234,44.86638,51.01688,49.42888,46.50276,51.48135,49.81003,43.98151,49.09474,47.89764,47.45439,52.20455,53.76295,48.38282,50.9808,52.79898,50.55756,51.58319,51.9962,50.98366,51.50323,51.84233,44.57627
600,al-Fant,EGY,30.879,28.753,27239,0.018056763,45.97113,45.2583,51.04852,48.37395,46.55375,49.83424,47.92696,42.77442,45.92195,46.84146,46.03014,50.10798,52.21227,46.76335,49.50533,51.83004,49.03132,52.11672,52.6657,52.65606,52.13331,52.82684,45.22925
601,al-Fant al-Gharbiyya,EGY,30.874,28.784,12216,0.020929187,46.42349,45.90804,50.76714,47.71011,45.58662,49.07455,47.16041,41.86713,44.99672,45.98399,45.62691,49.55379,51.83965,46.63758,49.07323,51.77323,48.84772,51.57867,52.15311,52.25774,51.92884,52.45839,44.54491
602,al-Fao,SDN,34.091,14.111,39301,0.42077491,34.22331,28.46881,33.03368,32.2873,36.88256,37.72672,38.85828,40.12879,37.15411,40.273,35.96098,41.46634,39.76917,43.33802,37.64915,39.5551,31.48118,38.24043,36.94087,41.68888,38.36084,38.31382,37.96319
603,al-Farastaq,EGY,30.781,30.91,17568,0.015446068,32.78922,32.68266,35.80481,35.73685,34.19424,38.50222,37.33387,34.35485,38.75123,37.03654,36.67767,40.02356,43.67694,37.30931,40.22449,40.28007,38.90498,39.35696,38.57072,39.32545,39.79817,39.81781,34.03425
605,al-Fashaqah (Shuwak),SDN,35.863,14.398,27082,0.316129693,31.48745,25.20145,29.73229,30.08193,35.20182,34.40361,34.67994,36.93201,32.48547,35.81995,32.52185,36.33525,37.08128,39.58432,34.00933,37.02587,29.47553,35.85768,34.88211,39.68029,37.15863,36.51612,35.96462
